,image_id,cluster
0,0000258_02910_d_0000079.jpg,14
1,9999981_00000_d_0000125.jpg,47
2,9999945_00000_d_0000035.jpg,16
3,0000256_01740_d_0000025.jpg,56
4,9999977_00000_d_0000004.jpg,94
5,9999966_00000_d_0000046.jpg,51
6,0000070_05776_d_0000004.jpg,89
7,9999950_00000_d_0000079.jpg,32
8,9999998_00292_d_0000245.jpg,26
9,0000256_02273_d_0000031.jpg,56
10,9999951_00000_d_0000058.jpg,91
11,9999945_00000_d_0000007.jpg,5
12,9999972_00000_d_0000082.jpg,41
13,9999972_00000_d_0000137.jpg,48
14,9999945_00000_d_0000175.jpg,57
15,9999969_00000_d_0000051.jpg,47
16,9999984_00000_d_0000076.jpg,13
17,9999998_00373_d_0000325.jpg,6
18,9999953_00000_d_0000034.jpg,64
19,0000275_01801_d_0000506.jpg,75
20,9999942_00000_d_0000114.jpg,22
21,9999994_00000_d_0000028.jpg,92
22,9999945_00000_d_0000048.jpg,32
23,0000281_02201_d_0000638.jpg,38
24,9999998_00078_d_0000063.jpg,81
25,9999981_00000_d_0000039.jpg,57
26,9999981_00000_d_0000011.jpg,50
27,9999945_00000_d_0000041.jpg,32
28,9999953_00000_d_0000093.jpg,9
29,9999982_00000_d_0000006.jpg,43
30,9999990_00000_d_0000017.jpg,2
31,9999994_00000_d_0000022.jpg,87
32,9999937_00000_d_0000218.jpg,62
33,9999942_00000_d_0000169.jpg,2
34,9999943_00000_d_0000034.jpg,16
35,9999942_00000_d_0000129.jpg,19
36,9999951_00000_d_0000076.jpg,59
37,0000170_00801_d_0000001.jpg,1
38,0000071_03522_d_0000006.jpg,58
39,9999994_00000_d_0000007.jpg,83
40,9999960_00000_d_0000075.jpg,82
41,9999945_00000_d_0000047.jpg,8
42,9999999_00855_d_0000391.jpg,81
43,9999998_00427_d_0000379.jpg,45
44,9999955_00000_d_0000295.jpg,59
45,0000143_00681_d_0000051.jpg,15
46,0000331_00001_d_0000824.jpg,54
47,9999985_00000_d_0000015.jpg,18
48,0000342_00981_d_0000247.jpg,45
49,9999960_00000_d_0000089.jpg,82
50,9999972_00000_d_0000132.jpg,3
51,9999953_00000_d_0000161.jpg,85
52,9999962_00000_d_0000086.jpg,75
53,9999987_00000_d_1008235.jpg,57
54,9999998_00126_d_0000104.jpg,48
55,9999977_00000_d_0000033.jpg,54
56,9999998_00405_d_0000357.jpg,95
57,9999998_00419_d_0000371.jpg,3
58,0000351_02353_d_0000531.jpg,45
59,9999972_00000_d_0000034.jpg,41
60,9999969_00000_d_0000016.jpg,47
61,9999981_00000_d_0000106.jpg,57
62,0000166_01558_d_0000123.jpg,90
63,9999965_00000_d_0000027.jpg,18
64,9999960_00000_d_0000098.jpg,68
65,9999998_00428_d_0000380.jpg,71
66,9999969_00000_d_0000035.jpg,60
67,9999982_00000_d_0000069.jpg,81
68,9999951_00000_d_0000212.jpg,22
69,9999945_00000_d_0000062.jpg,24
70,0000290_02201_d_0000858.jpg,14
71,9999994_00000_d_0000036.jpg,83
72,9999956_00000_d_0000016.jpg,27
73,9999951_00000_d_0000072.jpg,74
74,0000263_04001_d_0000187.jpg,59
75,0000258_01168_d_0000072.jpg,14
76,0000220_04258_d_0000014.jpg,71
77,9999945_00000_d_0000011.jpg,57
78,9999937_00000_d_0000174.jpg,31
79,9999937_00000_d_0000015.jpg,25
80,9999962_00000_d_0000016.jpg,51
81,0000307_06001_d_0000298.jpg,26
82,0000146_00601_d_0000060.jpg,45
83,9999999_00759_d_0000347.jpg,87
84,9999977_00000_d_0000027.jpg,91
85,9999945_00000_d_0000003.jpg,31
86,9999970_00000_d_0000035.jpg,62
87,0000281_03801_d_0000645.jpg,94
88,9999998_00346_d_0000298.jpg,14
89,9999982_00000_d_0000037.jpg,20
90,9999942_00000_d_0000026.jpg,12
91,9999999_00494_d_0000220.jpg,79
92,9999940_00000_d_0000101.jpg,67
93,9999943_00000_d_0000018.jpg,18
94,9999974_00000_d_0000001.jpg,1
95,9999981_00000_d_0000110.jpg,36
96,9999999_00592_d_0000268.jpg,56
97,9999962_00000_d_0000140.jpg,42
98,9999956_00000_d_0000033.jpg,2
99,9999940_00000_d_0000018.jpg,30
100,9999984_00000_d_0000054.jpg,94
101,9999942_00000_d_0000208.jpg,60
102,0000348_01569_d_0000414.jpg,19
103,0000334_01961_d_0000031.jpg,28
104,0000313_02401_d_0000448.jpg,39
105,9999982_00000_d_0000257.jpg,43
106,9999982_00000_d_0000120.jpg,40
107,9999985_00000_d_0000063.jpg,12
108,9999945_00000_d_0000068.jpg,32
109,9999960_00000_d_0000065.jpg,82
110,9999940_00000_d_0000013.jpg,30
111,9999953_00000_d_0000132.jpg,36
112,9999953_00000_d_0000111.jpg,5
113,9999966_00000_d_0000022.jpg,38
114,9999998_00260_d_0000214.jpg,6
115,9999955_00000_d_0000431.jpg,94
116,9999962_00000_d_0000070.jpg,18
117,9999953_00000_d_0000006.jpg,5
118,9999965_00000_d_0000002.jpg,35
119,9999998_00324_d_0000276.jpg,7
120,9999998_00239_d_0000193.jpg,62
121,9999966_00000_d_0000100.jpg,51
122,9999999_00677_d_0000307.jpg,87
123,9999982_00000_d_0000057.jpg,61
124,9999975_00000_d_0000013.jpg,98
125,9999977_00000_d_0000042.jpg,27
126,9999962_00000_d_0000041.jpg,93
127,9999981_00000_d_0000081.jpg,5
128,0000352_03529_d_0000557.jpg,21
129,0000363_01961_d_0000792.jpg,52
130,9999960_00000_d_0000137.jpg,58
131,9999945_00000_d_0000085.jpg,57
132,9999962_00000_d_0000104.jpg,49
133,9999937_00000_d_0000154.jpg,31
134,9999999_00460_d_0000205.jpg,62
135,0000334_01177_d_0000027.jpg,28
136,9999940_00000_d_0000030.jpg,70
137,9999990_00000_d_0000053.jpg,11
138,0000261_01601_d_0000124.jpg,23
139,9999964_00000_d_0000058.jpg,51
140,0000143_00881_d_0000052.jpg,29
141,9999945_00000_d_0000152.jpg,82
142,0000361_04509_d_0000776.jpg,79
143,0000257_00621_d_0000045.jpg,23
144,9999942_00000_d_0000154.jpg,16
145,9999981_00000_d_0000088.jpg,50
146,9999940_00000_d_0000024.jpg,30
147,9999985_00000_d_0000035.jpg,27
148,9999998_00228_d_0000184.jpg,75
149,0000263_04401_d_0000189.jpg,16
150,9999953_00000_d_0000191.jpg,36
151,9999942_00000_d_0000265.jpg,65
152,9999945_00000_d_0000150.jpg,61
153,0000261_04901_d_0000137.jpg,4
154,0000204_00000_d_0000191.jpg,45
155,9999937_00000_d_0000049.jpg,22
156,0000003_00231_d_0000016.jpg,23
157,9999969_00000_d_0000069.jpg,49
158,9999969_00000_d_0000067.jpg,47
159,9999966_00000_d_0000072.jpg,23
160,9999999_00590_d_0000267.jpg,1
161,9999951_00000_d_0000323.jpg,67
162,9999960_00000_d_0000117.jpg,82
163,9999982_00000_d_0000035.jpg,96
164,9999981_00000_d_0000078.jpg,65
165,9999960_00000_d_0000177.jpg,57
166,9999960_00000_d_0000062.jpg,85
167,9999962_00000_d_0000097.jpg,49
168,9999940_00000_d_0000052.jpg,73
169,9999937_00000_d_0000081.jpg,87
170,9999999_00582_d_0000263.jpg,97
171,9999998_00233_d_0000189.jpg,27
172,9999962_00000_d_0000058.jpg,13
173,9999948_00000_d_0000019.jpg,24
174,9999942_00000_d_0000108.jpg,51
175,9999937_00000_d_0000007.jpg,63
176,9999945_00000_d_0000178.jpg,57
177,0000076_03930_d_0000013.jpg,71
178,9999962_00000_d_0000023.jpg,51
179,9999943_00000_d_0000012.jpg,16
180,0000334_00785_d_0000025.jpg,28
181,9999943_00000_d_0000026.jpg,16
182,0000109_03179_d_0000064.jpg,82
183,9999975_00000_d_0000002.jpg,61
184,9999955_00000_d_0000259.jpg,61
185,9999955_00000_d_0000410.jpg,73
186,9999955_00000_d_0000061.jpg,72
187,9999945_00000_d_0000034.jpg,82
188,9999937_00000_d_0000205.jpg,62
189,9999964_00000_d_0000060.jpg,77
190,0000260_03859_d_0000116.jpg,19
191,9999990_00000_d_0000005.jpg,66
192,9999999_00464_d_0000207.jpg,6
193,9999975_00000_d_0000007.jpg,61
194,9999998_00430_d_0000382.jpg,22
195,9999998_00429_d_0000381.jpg,75
196,0000181_02065_d_0000033.jpg,81
197,9999964_00000_d_0000077.jpg,77
